Instructed,Rule,Stimulation,Site,Accuracy,EncodingTime,ResponseTime,Subject
1,1,2,1,1,1.1525,0.50139,3
1,0,0,1,1,1.1858,0.73511,3
0,1,2,1,1,1.2523,0.5347,3
1,1,1,1,1,0.75175,0.5013,3
0,0,2,1,1,1.1523,0.83516,3
1,0,0,1,1,1.2692,0.76846,3
1,0,1,1,1,0.80186,0.735,3
1,1,2,1,1,1.4361,0.53468,3
1,0,0,1,1,1.1524,0.65159,3
0,1,1,1,1,1.0689,0.56827,3
1,0,0,1,1,1.7532,0.685,3
1,1,2,1,1,0.96873,0.5014,3
1,0,1,1,1,1.0355,0.65159,3
1,1,0,1,1,1.6363,0.50133,3
0,0,1,1,1,1.1357,0.81859,3
1,1,2,1,1,1.0689,0.518,3
0,1,1,1,1,2.087,0.75172,3
1,0,2,1,1,1.3693,1.1021,3
0,0,0,1,1,0.95212,0.68499,3
1,0,2,1,1,1.5362,0.88534,3
1,1,1,1,1,1.6531,0.50129,3
0,0,0,1,1,1.3026,1.0188,3
0,1,2,1,1,1.1858,0.51812,3
1,1,0,1,1,1.1857,0.55155,3
0,1,1,1,1,1.2525,0.50138,3
0,1,2,1,1,1.2525,0.56816,3
0,0,0,1,1,1.1523,1.0187,3
0,0,1,1,1,3.2051,0.73504,3
0,1,1,1,1,1.5529,0.51802,3
0,0,2,1,1,1.0689,0.7518,3
0,1,0,1,1,1.0689,0.53478,3
1,1,2,1,1,0.93537,0.50146,3
0,0,0,1,1,1.1692,0.73509,3
1,1,1,1,1,0.95205,0.51808,3
1,1,1,1,1,2.2205,0.50148,3
1,1,0,1,1,0.93538,0.65148,3
1,0,2,1,1,1.0857,0.73512,3
0,0,0,0,1,1.3362,1.0354,3
0,1,2,0,1,0.9357,0.55146,3
1,0,1,0,1,0.83533,0.8018,3
0,1,2,0,1,0.90199,0.51803,3
1,0,0,0,0,1.0689,1.2023,3
1,0,1,0,1,1.169,0.83507,3
1,1,1,0,1,1.1691,0.50128,3
0,0,2,0,1,0.78518,0.91857,3
1,0,0,0,1,1.2859,0.88519,3
1,0,2,0,1,0.98554,0.73505,3
1,1,1,0,1,1.2024,0.50138,3
0,1,0,0,1,1.0189,0.50149,3
1,0,0,0,1,1.436,0.8352,3
0,1,2,0,1,1.069,0.6016,3
0,1,1,0,1,1.119,0.5014,3
0,1,1,0,1,0.90207,0.70168,3
0,1,2,0,1,1.0524,0.70174,3
1,0,0,0,0,0.66838,0.78501,3
0,0,2,0,1,0.91872,1.0188,3
0,0,0,0,1,1.82,0.65166,3
0,1,1,0,1,0.95212,0.55152,3
1,0,1,0,0,1.336,0.66824,3
0,1,2,0,1,1.0355,0.83527,3
0,0,0,0,1,1.119,1.0688,3
1,1,2,0,1,1.0355,0.58483,3
1,1,1,0,1,1.2358,0.50128,3
0,0,0,0,1,1.4028,0.78503,3
0,1,0,0,1,1.0355,0.53477,3
1,0,2,0,1,1.0857,0.80175,3
1,1,1,0,1,1.3192,0.66822,3
